timestamp,action,side,price,quantity,order_id
2025-07-26 19:50:00+00:00,sell,yes,0.5,1,5
2025-07-26 22:19:00+00:00,buy,yes,0.37,2,8
2025-07-27 02:48:00+00:00,sell,yes,0.35,2,17
2025-07-27 03:42:00+00:00,sell,yes,0.38,1,21
2025-07-27 03:48:00+00:00,sell,yes,0.43,1,23
2025-07-27 06:33:00+00:00,buy,yes,0.48,4,32
2025-07-27 12:26:00+00:00,sell,yes,0.49,2,37
2025-07-27 16:32:00+00:00,sell,yes,0.41,1,49
2025-07-27 18:05:00+00:00,sell,yes,0.34,1,54
2025-07-27 18:36:00+00:00,sell,yes,0.4,1,57
2025-07-27 19:18:00+00:00,sell,yes,0.49,1,61
2025-07-27 19:21:00+00:00,sell,yes,0.59,1,63
2025-07-27 19:57:00+00:00,sell,yes,0.59,1,66
2025-07-27 20:37:00+00:00,sell,yes,0.54,1,70
2025-07-27 20:41:00+00:00,buy,yes,0.54,8,72
2025-07-27 20:44:00+00:00,buy,yes,0.51,1,72
2025-07-27 20:46:00+00:00,sell,yes,0.54,2,75
2025-07-27 21:01:00+00:00,sell,yes,0.71,1,79
2025-07-27 21:12:00+00:00,sell,yes,0.88,1,82
2025-07-27 21:38:00+00:00,sell,yes,0.98,1,85
2025-07-27 22:02:00+00:00,buy,yes,0.93,5,86
2025-07-27 22:08:00+00:00,sell,yes,0.99,1,87
