timestamp,action,side,price,quantity,order_id
2025-06-11 20:25:00+00:00,sell,yes,0.38,1,3
2025-06-12 01:40:00+00:00,buy,yes,0.3,2,4
2025-06-12 19:34:00+00:00,sell,yes,0.19,2,13
2025-06-13 12:03:00+00:00,sell,yes,0.2,1,21
2025-06-14 04:42:00+00:00,buy,yes,0.16,3,34
2025-06-14 18:44:00+00:00,sell,yes,0.19,2,37
2025-06-15 20:48:00+00:00,sell,yes,0.25,1,47
2025-06-16 01:00:00+00:00,buy,yes,0.22,3,52
2025-06-17 12:05:00+00:00,sell,yes,0.26,1,62
2025-06-17 12:06:00+00:00,sell,yes,0.26,1,62
2025-06-17 12:49:00+00:00,buy,yes,0.2,2,63
2025-06-17 18:49:00+00:00,sell,yes,0.22,1,70
2025-06-17 18:49:00+00:00,sell,yes,0.26,1,70
2025-06-18 04:08:00+00:00,buy,yes,0.19,2,73
2025-06-18 19:45:00+00:00,sell,yes,0.2,2,80
2025-06-20 12:01:00+00:00,buy,yes,0.18,2,90
2025-06-21 01:34:00+00:00,sell,yes,0.22,2,103
2025-06-22 16:37:00+00:00,sell,yes,0.22,1,110
2025-06-23 12:00:00+00:00,sell,yes,0.27,1,116
2025-06-23 14:09:00+00:00,buy,yes,0.23,4,117
2025-06-24 12:07:00+00:00,sell,yes,0.2,2,130
2025-06-24 21:17:00+00:00,buy,yes,0.21,2,141
2025-06-25 01:20:00+00:00,sell,yes,0.24,2,146
2025-06-30 12:00:00+00:00,sell,yes,0.18,1,180
2025-07-01 04:25:00+00:00,buy,yes,0.14,3,190
2025-07-01 20:18:00+00:00,sell,yes,0.17,2,193
2025-07-02 12:02:00+00:00,buy,yes,0.14,2,194
2025-07-03 17:34:00+00:00,sell,yes,0.11,2,225
2025-07-03 18:11:00+00:00,sell,yes,0.15,1,227
2025-07-03 22:44:00+00:00,sell,yes,0.16,1,234
2025-07-04 12:14:00+00:00,buy,yes,0.1,4,240
2025-07-05 00:10:00+00:00,sell,yes,0.14,2,244
2025-07-07 15:26:00+00:00,sell,yes,0.22,1,257
2025-07-08 04:32:00+00:00,buy,yes,0.09,3,270
2025-07-08 13:12:00+00:00,sell,yes,0.14,2,272
2025-07-09 14:53:00+00:00,buy,yes,0.13,2,307
2025-07-09 15:03:00+00:00,buy,yes,0.09,1,309
2025-07-09 15:36:00+00:00,sell,yes,0.11,3,314
2025-07-11 13:16:00+00:00,sell,yes,0.13,1,349
2025-07-11 23:05:00+00:00,buy,yes,0.15,3,359
2025-07-13 05:45:00+00:00,sell,yes,0.12,2,374
2025-07-14 12:25:00+00:00,sell,yes,0.14,1,392
2025-07-14 21:21:00+00:00,buy,yes,0.1,3,421
2025-07-15 00:52:00+00:00,sell,yes,0.13,2,424
2025-07-15 12:10:00+00:00,sell,yes,0.17,1,443
